id,T,U,obs.D0,obs.D1,obs.D2,Q1,Q2,SC1.D0,SC1.D1,SC1.D2,SC2.D0,SC2.D1,SC2.D2,SC3.D0,SC3.D1,SC3.D2,SC4.D0,SC4.D1,SC4.D2,SC5.D0,SC5.D1,SC5.D2,SC6.D0,SC6.D1,SC6.D2,SC7.D0,SC7.D1,SC7.D2
0_0,37,51,12,8.357,6.267,2,4,1.378,1.378,1.378,4.159,3.82,3.457,6.404,5.442,4.618,9.16,6.993,5.55,10.604,7.677,5.913,11.582,8.136,6.15,12,8.357,6.267
0_22,15,19,4,3.046,2.674,1,1,1.267,1.267,1.267,1.981,1.872,1.764,2.404,2.203,2.03,3.051,2.648,2.39,3.457,2.847,2.54,3.771,2.967,2.622,4.058,3.066,2.687
0_3,21,27,14,11.567,9.468,7,4,1.286,1.286,1.286,3.517,3.405,3.254,5.391,5.078,4.691,8.395,7.553,6.647,10.715,9.298,7.917,12.546,10.586,8.808,14.315,11.775,9.606
0_7,7,8,6,5.657,5.333,4,2,1.143,1.143,1.143,1.143,1.143,1.143,2.19,2.157,2.11,3.143,3.055,2.939,4,3.844,3.657,4.762,4.535,4.286,6,5.657,5.333
0_8,14,21,9,6.745,5.313,5,1,1.5,1.5,1.5,2.659,2.563,2.445,3.588,3.355,3.094,5.609,4.875,4.214,7.072,5.785,4.793,7.893,6.226,5.044,9.346,6.891,5.383
1_0,10,20,7,5.663,4.762,2,2,2,2,2,2,2,2,3.289,3.126,2.951,4.895,4.346,3.871,5.895,5,4.32,6.556,5.399,4.586,7,5.663,4.762
1_22,15,16,4,3.199,2.844,1,1,1.067,1.067,1.067,1.781,1.697,1.604,2.264,2.091,1.927,3.035,2.675,2.413,3.457,2.938,2.635,3.771,3.095,2.762,4,3.199,2.844
1_23,19,41,12,7.603,5.405,5,3,2.158,2.158,2.158,3.526,3.349,3.16,5.396,4.715,4.115,7.928,6.099,4.848,9.752,6.853,5.154,11.157,7.339,5.322,12.247,7.678,5.428
1_9,7,9,4,3.37,3,2,0,1.286,1.286,1.286,1.286,1.286,1.286,2.143,2.041,1.929,2.714,2.509,2.314,3.714,3.221,2.893,3.429,3.044,2.755,4,3.37,3
10_17,59,111,25,17.861,14.512,9,2,1.881,1.881,1.881,9.584,8.716,7.803,13.891,11.966,10.295,18.548,15.005,12.538,21.475,16.545,13.64,23.582,17.397,14.216,25.151,17.906,14.54
