"id","SC"
"0_0",0.9647
"0_12",1
"0_21",0.8333
"0_22",0.9539
"0_23",0.8333
"0_3",0.7548
"0_4",0.8889
"0_5",1
"0_6",1
"0_7",0.5714
"0_8",0.769
"1_0",0.9182
"1_17",1
"1_21",0.6667
"1_22",0.9453
"1_23",0.8857
"1_9",0.8333
"10_0",1
"10_1",1
"10_17",0.9195
"10_18",0.9821
"10_23",1
"10_8",1
"11_16",0.972
"11_17",0.9395
"11_23",1
"11_6",0.7619
"12_1",1
"12_13",1
"12_14",1
"12_15",0.6118
"12_16",0.9742
"13_15",0.8107
"13_16",0.896
"13_17",0.8777
"13_18",0.9111
"13_23",1
"14_1",1
"14_11",0.9374
"14_12",0.9531
"14_14",0.8333
"14_15",0.9387
"14_16",0.9745
"14_17",0.9743
"14_18",0.6935
"14_22",1
"14_23",1
"14_4",1
"14_7",1
"15_0",1
"15_10",0.951
"15_11",0.8814
"15_13",0.4462
"15_14",0.9424
"15_15",0.8538
"15_16",0.9153
"15_17",0.9807
"15_18",0.9601
"15_22",0.6667
"15_23",1
"15_5",1
"16_1",1
"16_10",1
"16_11",1
"16_12",0.881
"16_13",0.3651
"16_14",0.9445
"16_15",0.953
"16_16",0.9139
"16_17",0.9484
"16_18",0.8554
"16_19",0.9265
"16_2",0.7967
"16_21",0.6667
"16_22",0.8333
"16_23",0.8333
"16_3",0.3333
"16_4",1
"16_5",0.1
"16_6",1
"16_8",0.5
"16_9",1
"17_0",0.6667
"17_1",0.3333
"17_14",0.9769
"17_15",0.8796
"17_16",0.9246
"17_19",0.9776
"17_2",0.8933
"17_20",0.9862
"17_21",0.998
"17_22",0.5
"17_23",0.9351
"17_3",0.9667
"17_4",0.9881
"17_5",0.9855
"17_6",0.959
"17_7",0.9664
"17_8",1
"18_0",0.8947
"18_1",0.3711
"18_14",0.8948
"18_15",0.9831
"18_16",1
"18_18",0.9757
"18_19",0.8249
"18_2",0.947
"18_20",0.9798
"18_21",1
"18_22",1
"18_23",0.2643
"18_3",0.9833
"18_4",1
"19_0",1
"19_1",0.9107
"19_13",0.6667
"19_14",0.8016
"19_15",0.9771
"19_19",1
"19_2",0.7923
"19_20",0.9682
"19_21",1
"19_22",1
"19_23",0.4117
"19_4",0.7125
"2_0",0.6883
"2_13",0.1818
"2_16",1
"2_21",0.7679
"2_22",0.6652
"2_23",0.9362
"20_1",0.3506
"20_13",0.625
"20_20",0.6137
"20_21",0.7202
"20_22",0.1818
"20_23",0.6634
"20_4",1
"20_5",0.9383
"20_6",1
"21_0",1
"21_1",0.8627
"21_12",1
"21_13",1
"21_14",0.8929
"21_17",1
"21_2",1
"21_20",1
"21_21",1
"21_22",0.2
"21_3",0.25
"21_6",0.973
"21_7",1
"22_1",0.4074
"22_11",1
"22_12",1
"22_14",1
"22_19",1
"22_2",0.8854
"22_22",1
"22_4",1
"22_7",0.9395
"22_8",0.8333
"22_9",1
"23_1",0.4286
"23_10",1
"23_11",0.6667
"23_19",0.3333
"23_2",0.7413
"23_21",1
"23_23",0.1667
"23_4",1
"23_5",0.8333
"23_9",1
"24_0",1
"24_1",0.8326
"24_11",1
"24_15",0.9333
"24_16",1
"24_17",1
"24_19",0.775
"24_22",0.64
"24_23",0.4857
"24_7",1
"25_0",0.6631
"25_14",1
"25_15",0.7375
"25_18",1
"25_19",1
"25_22",0.25
"25_23",0.808
"26_0",0.8065
"26_15",0.6667
"26_16",0.8333
"26_17",0.9808
"26_18",0.7479
"26_19",1
"26_2",1
"26_20",1
"26_21",0.9283
"26_22",0.1429
"26_23",0.3386
"26_4",1
"27_0",0.6528
"27_18",1
"27_19",0.991
"27_20",0.9903
"27_21",0.9973
"27_22",0.9975
"27_23",0.3891
"28_19",0.9955
"28_20",0.992
"28_21",0.9994
"28_22",0.9992
"28_23",1
"28_8",1
"29_19",0.9724
"29_20",0.9977
"29_21",0.997
"29_22",0.9856
"29_23",1
"29_5",1
"29_6",1
"3_12",1
"3_16",0.9721
"3_19",1
"3_21",1
"3_22",0.7333
"3_23",0.3333
"3_7",0.6
"30_10",1
"30_12",0.5
"30_18",1
"30_19",0.9193
"30_20",0.9949
"30_21",0.9513
"30_22",0.9929
"30_23",0.9655
"30_8",1
"31_10",1
"31_18",1
"31_19",0.9479
"31_20",0.9891
"31_22",0.7576
"31_23",0.9766
"31_5",0.9949
"31_6",0.8242
"31_7",0.8333
"32_19",0.9806
"32_20",0.7328
"32_23",0.9269
"32_4",0.625
"32_5",0.9734
"33_19",0.9731
"33_20",0.7857
"33_23",0.9192
"33_5",0.93
"33_6",0.6494
"34_16",1
"34_17",0.9565
"34_18",0.8229
"34_19",0.8995
"34_20",1
"34_23",0.9351
"34_3",1
"34_6",0.5089
"34_7",0.4781
"35_10",0.9468
"35_11",0.75
"35_14",1
"35_15",0.6617
"35_16",0.6995
"35_23",0.6667
"35_3",0.6667
"35_7",0.8036
"35_8",1
"35_9",0.5833
"36_10",0.55
"36_13",1
"36_5",1
"36_8",0.6667
"36_9",0.8902
"37_1",1
"37_11",0.5625
"37_15",0.4857
"37_17",0.6667
"37_23",0.75
"37_7",0.7847
"37_9",1
"38_1",1
"38_16",0.8312
"38_17",0.7643
"38_23",0.8333
"38_7",0.9293
"39_0",1
"39_23",0.5
"4_16",0.75
"4_22",0.9521
"4_23",0.6667
"4_7",1
"4_8",0.9678
"40_0",1
"40_10",0.6667
"40_11",1
"40_12",0.9709
"40_13",1
"40_14",0.625
"40_15",0.9655
"40_16",0.9136
"40_2",0.625
"41_0",0.8413
"41_13",0.0625
"41_14",0.7333
"41_23",1
"42_13",1
"42_15",1
"42_16",1
"43_14",0.7679
"43_16",1
"44_0",0.8889
"44_13",0.914
"44_14",0.8511
"44_23",1
"44_9",0.6667
"45_10",0.55
"45_12",0.9651
"45_13",0.7115
"45_14",0.8528
"45_23",1
"45_9",0.6691
"46_1",1
"46_10",0.8519
"46_14",0.5625
"46_15",0.4857
"46_16",0.6768
"46_9",1
"47_1",1
"47_10",0.9329
"47_12",0.6667
"47_13",0.8426
"47_16",0.9464
"47_17",0.9603
"47_23",0.5
"47_5",0.9599
"47_6",0.2895
"47_7",0.6997
"47_8",1
"48_10",0.9322
"48_11",1
"48_12",0.807
"48_13",0.9751
"48_14",0.9241
"48_15",0.6667
"48_16",0.7812
"48_17",0.8486
"48_18",0.8889
"48_19",0.9009
"48_2",1
"48_5",1
"48_7",0.8889
"48_8",0.9175
"48_9",0.8286
"49_10",0.5833
"49_11",0.8625
"49_12",0.952
"49_13",0.7374
"49_14",0.6694
"49_17",0.7115
"49_18",0.8517
"49_19",0.9372
"49_23",1
"49_5",0.9308
"49_8",0.64
"49_9",0.5648
"5_1",1
"5_21",1
"5_22",0.7541
"5_23",0.25
"5_8",0.1111
"50_10",0.84
"50_11",0.8889
"50_12",1
"50_13",0.8249
"50_18",0.7531
"50_19",0.3318
"50_20",0.9569
"50_3",1
"50_4",0.4527
"50_5",0.9438
"50_9",0.5714
"51_0",0.3386
"51_14",1
"51_17",1
"51_18",0.4522
"51_19",0.898
"51_20",0.474
"51_21",1
"51_23",0.6667
"51_4",0.9657
"51_5",0.9661
"51_9",0.8438
"52_0",1
"52_1",1
"52_10",0.1176
"52_11",1
"52_14",0.9702
"52_15",0.625
"52_2",1
"52_20",0.7619
"52_23",1
"52_3",0.9743
"52_4",0.9922
"52_7",0.7057
"52_8",0.9461
"52_9",0.8889
"53_1",0.8333
"53_10",0.8333
"53_11",0.3333
"53_13",0.1111
"53_17",1
"53_4",0.9853
"53_5",0.9805
"53_6",0.9659
"53_7",0.6069
"53_8",1
"53_9",1
"54_1",0.8333
"54_10",0.9227
"54_2",0.6799
"54_21",0.625
"54_3",1
"54_5",0.6444
"54_6",0.6667
"55_0",0.7861
"55_13",0.9762
"55_14",1
"55_2",0.82
"55_22",0.4286
"55_23",1
"55_3",0.896
"55_4",0.6667
"55_5",1
"55_6",0.7176
"55_7",0.9826
"55_8",0.8333
"56_0",0.9715
"56_12",0.1818
"56_13",0.906
"56_14",1
"56_2",0.3386
"56_3",0.9801
"56_4",0.9906
"56_5",0.9666
"56_7",0.8889
"56_8",0.8384
