"t","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
1,"interpolated",0,1.2,0.512,1.888,0.5,0.081,0.919
1,"interpolated",0,1.2,0.512,1.888,0.5,0.081,0.919
1,"interpolated",0,1.2,0.512,1.888,0.5,0.081,0.919
1,"interpolated",0,1.2,0.512,1.888,0.5,0.081,0.919
1,"interpolated",0,1.2,0.512,1.888,0.5,0.081,0.919
1,"interpolated",0,1.2,0.512,1.888,0.5,0.081,0.919
2,"interpolated",0,1.8,0.855,2.745,0.667,0.316,1
2,"interpolated",0,1.8,0.855,2.745,0.667,0.316,1
2,"interpolated",0,1.8,0.855,2.745,0.667,0.316,1
2,"interpolated",0,1.8,0.855,2.745,0.667,0.316,1
2,"interpolated",0,1.8,0.855,2.745,0.667,0.316,1
2,"interpolated",0,1.8,0.855,2.745,0.667,0.316,1
3,"interpolated",0,2.2,1.044,3.356,0.667,0.338,0.995
3,"interpolated",0,2.2,1.044,3.356,0.667,0.338,0.995
3,"interpolated",0,2.2,1.044,3.356,0.667,0.338,0.995
3,"interpolated",0,2.2,1.044,3.356,0.667,0.338,0.995
3,"interpolated",0,2.2,1.044,3.356,0.667,0.338,0.995
3,"interpolated",0,2.2,1.044,3.356,0.667,0.338,0.995
4,"interpolated",0,2.6,1.247,3.953,0.667,0.322,1
5,"observed",0,3,1.438,4.562,0.778,0.53,1
6,"extrapolated",0,3.267,1.526,5.008,0.852,0.678,1
6,"extrapolated",0,3.267,1.526,5.008,0.852,0.678,1
6,"extrapolated",0,3.267,1.526,5.008,0.852,0.678,1
6,"extrapolated",0,3.267,1.526,5.008,0.852,0.678,1
6,"extrapolated",0,3.267,1.526,5.008,0.852,0.678,1
7,"extrapolated",0,3.444,1.558,5.331,0.901,0.777,1
7,"extrapolated",0,3.444,1.558,5.331,0.901,0.777,1
7,"extrapolated",0,3.444,1.558,5.331,0.901,0.777,1
7,"extrapolated",0,3.444,1.558,5.331,0.901,0.777,1
7,"extrapolated",0,3.444,1.558,5.331,0.901,0.777,1
8,"extrapolated",0,3.563,1.561,5.564,0.934,0.843,1
8,"extrapolated",0,3.563,1.561,5.564,0.934,0.843,1
8,"extrapolated",0,3.563,1.561,5.564,0.934,0.843,1
8,"extrapolated",0,3.563,1.561,5.564,0.934,0.843,1
8,"extrapolated",0,3.563,1.561,5.564,0.934,0.843,1
9,"extrapolated",0,3.642,1.55,5.734,0.956,0.889,1
9,"extrapolated",0,3.642,1.55,5.734,0.956,0.889,1
9,"extrapolated",0,3.642,1.55,5.734,0.956,0.889,1
9,"extrapolated",0,3.642,1.55,5.734,0.956,0.889,1
10,"extrapolated",0,3.695,1.532,5.858,0.971,0.92,1
1,"interpolated",1,1.2,0.543,1.857,0.5,0.133,0.867
1,"interpolated",1,1.2,0.543,1.857,0.5,0.133,0.867
1,"interpolated",1,1.2,0.543,1.857,0.5,0.133,0.867
1,"interpolated",1,1.2,0.543,1.857,0.5,0.133,0.867
1,"interpolated",1,1.2,0.543,1.857,0.5,0.133,0.867
1,"interpolated",1,1.2,0.543,1.857,0.5,0.133,0.867
2,"interpolated",1,1.697,0.867,2.527,0.667,0.405,0.928
2,"interpolated",1,1.697,0.867,2.527,0.667,0.405,0.928
2,"interpolated",1,1.697,0.867,2.527,0.667,0.405,0.928
2,"interpolated",1,1.697,0.867,2.527,0.667,0.405,0.928
2,"interpolated",1,1.697,0.867,2.527,0.667,0.405,0.928
2,"interpolated",1,1.697,0.867,2.527,0.667,0.405,0.928
3,"interpolated",1,1.981,1.006,2.956,0.667,0.44,0.893
3,"interpolated",1,1.981,1.006,2.956,0.667,0.44,0.893
3,"interpolated",1,1.981,1.006,2.956,0.667,0.44,0.893
3,"interpolated",1,1.981,1.006,2.956,0.667,0.44,0.893
3,"interpolated",1,1.981,1.006,2.956,0.667,0.44,0.893
3,"interpolated",1,1.981,1.006,2.956,0.667,0.44,0.893
4,"interpolated",1,2.2,1.119,3.28,0.667,0.447,0.886
5,"observed",1,2.381,1.22,3.542,0.778,0.621,0.934
6,"extrapolated",1,2.532,1.31,3.754,0.852,0.745,0.959
6,"extrapolated",1,2.532,1.31,3.754,0.852,0.745,0.959
6,"extrapolated",1,2.532,1.31,3.754,0.852,0.745,0.959
6,"extrapolated",1,2.532,1.31,3.754,0.852,0.745,0.959
6,"extrapolated",1,2.532,1.31,3.754,0.852,0.745,0.959
7,"extrapolated",1,2.66,1.382,3.939,0.901,0.827,0.976
7,"extrapolated",1,2.66,1.382,3.939,0.901,0.827,0.976
7,"extrapolated",1,2.66,1.382,3.939,0.901,0.827,0.976
7,"extrapolated",1,2.66,1.382,3.939,0.901,0.827,0.976
7,"extrapolated",1,2.66,1.382,3.939,0.901,0.827,0.976
8,"extrapolated",1,2.769,1.44,4.098,0.934,0.882,0.987
8,"extrapolated",1,2.769,1.44,4.098,0.934,0.882,0.987
8,"extrapolated",1,2.769,1.44,4.098,0.934,0.882,0.987
8,"extrapolated",1,2.769,1.44,4.098,0.934,0.882,0.987
8,"extrapolated",1,2.769,1.44,4.098,0.934,0.882,0.987
9,"extrapolated",1,2.862,1.488,4.236,0.956,0.919,0.994
9,"extrapolated",1,2.862,1.488,4.236,0.956,0.919,0.994
9,"extrapolated",1,2.862,1.488,4.236,0.956,0.919,0.994
9,"extrapolated",1,2.862,1.488,4.236,0.956,0.919,0.994
10,"extrapolated",1,2.94,1.527,4.354,0.971,0.943,0.998
1,"interpolated",2,1.2,0.558,1.842,0.5,0.142,0.858
1,"interpolated",2,1.2,0.558,1.842,0.5,0.142,0.858
1,"interpolated",2,1.2,0.558,1.842,0.5,0.142,0.858
1,"interpolated",2,1.2,0.558,1.842,0.5,0.142,0.858
1,"interpolated",2,1.2,0.558,1.842,0.5,0.142,0.858
1,"interpolated",2,1.2,0.558,1.842,0.5,0.142,0.858
2,"interpolated",2,1.6,0.797,2.403,0.667,0.345,0.989
2,"interpolated",2,1.6,0.797,2.403,0.667,0.345,0.989
2,"interpolated",2,1.6,0.797,2.403,0.667,0.345,0.989
2,"interpolated",2,1.6,0.797,2.403,0.667,0.345,0.989
2,"interpolated",2,1.6,0.797,2.403,0.667,0.345,0.989
2,"interpolated",2,1.6,0.797,2.403,0.667,0.345,0.989
3,"interpolated",2,1.8,0.865,2.735,0.667,0.39,0.943
3,"interpolated",2,1.8,0.865,2.735,0.667,0.39,0.943
3,"interpolated",2,1.8,0.865,2.735,0.667,0.39,0.943
3,"interpolated",2,1.8,0.865,2.735,0.667,0.39,0.943
3,"interpolated",2,1.8,0.865,2.735,0.667,0.39,0.943
3,"interpolated",2,1.8,0.865,2.735,0.667,0.39,0.943
4,"interpolated",2,1.92,0.876,2.964,0.667,0.388,0.946
5,"observed",2,2,0.866,3.134,0.778,0.564,0.991
6,"extrapolated",2,2.057,0.846,3.268,0.852,0.692,1
6,"extrapolated",2,2.057,0.846,3.268,0.852,0.692,1
6,"extrapolated",2,2.057,0.846,3.268,0.852,0.692,1
6,"extrapolated",2,2.057,0.846,3.268,0.852,0.692,1
6,"extrapolated",2,2.057,0.846,3.268,0.852,0.692,1
7,"extrapolated",2,2.1,0.824,3.376,0.901,0.779,1
7,"extrapolated",2,2.1,0.824,3.376,0.901,0.779,1
7,"extrapolated",2,2.1,0.824,3.376,0.901,0.779,1
7,"extrapolated",2,2.1,0.824,3.376,0.901,0.779,1
7,"extrapolated",2,2.1,0.824,3.376,0.901,0.779,1
8,"extrapolated",2,2.133,0.801,3.465,0.934,0.84,1
8,"extrapolated",2,2.133,0.801,3.465,0.934,0.84,1
8,"extrapolated",2,2.133,0.801,3.465,0.934,0.84,1
8,"extrapolated",2,2.133,0.801,3.465,0.934,0.84,1
8,"extrapolated",2,2.133,0.801,3.465,0.934,0.84,1
9,"extrapolated",2,2.16,0.779,3.541,0.956,0.882,1
9,"extrapolated",2,2.16,0.779,3.541,0.956,0.882,1
9,"extrapolated",2,2.16,0.779,3.541,0.956,0.882,1
9,"extrapolated",2,2.16,0.779,3.541,0.956,0.882,1
10,"extrapolated",2,2.182,0.758,3.606,0.971,0.913,1
