,tile_id,SC1,SC2,SC3,SC4,SC5,SC6,SC7
0,0_0,0.1419,0.2569,0.3548,0.522,0.6511,0.714,0.773
1,0_1,0.368,0.6833,0.7835,0.8438,0.886,0.9276,0.976
2,0_12,0.258,0.4176,0.5241,0.659,0.7423,0.781,0.812
3,0_5,0.084,0.2246,0.3394,0.5106,0.6291,0.717,0.783
4,1_0,0.214,0.214,0.367,0.5186,0.561,0.5709,0.6014
5,1_11,0.133,0.133,0.133,0.133,0.267,0.267,0.5535
6,1_33,0.202,0.202,0.366,0.598,0.7141,0.7868,0.8445
7,1_34,0.238,0.238,0.357,0.405,0.417,0.417,0.4555
8,10_32,0.333,0.333,0.333,0.333,0.542,0.542,0.721
9,10_33,0.235,0.833,0.9147,0.9668,0.9804,0.9856,0.987
10,11_32,0.149,0.9081,0.9537,0.9754,0.9827,0.9866,0.988
11,11_33,0.197,0.7162,0.8174,0.8916,0.9279,0.95,0.9625
12,12_30,0.457,0.666,0.8241,0.878,0.8898,0.9034,0.9165
13,12_31,0.196,0.7039,0.8197,0.8886,0.9179,0.9348,0.9424
14,12_32,0.147,0.8011,0.885,0.9422,0.9648,0.9768,0.982
15,13_28,0.08,0.2755,0.4729,0.6884,0.8061,0.8678,0.893
16,13_29,0.279,0.9461,0.9692,0.9836,0.9897,0.9926,0.994
17,13_30,0.234,0.8857,0.9499,0.9772,0.9847,0.988,0.989
18,13_31,0.253,0.9696,0.9855,0.9928,0.9947,0.996,0.997
19,13_32,0.276,0.901,0.9418,0.9634,0.9724,0.9786,0.981
20,14_27,0.074,0.074,0.1406,0.2072,0.296,0.37,0.5385
21,14_28,0.306,0.93,0.96,0.9776,0.9844,0.9876,0.989
22,14_29,0.201,0.622,0.7856,0.9074,0.9509,0.9662,0.9705
23,15_26,0.169,0.4056,0.6113,0.7742,0.8314,0.8452,0.852
24,15_27,0.27,0.8057,0.8832,0.9334,0.9511,0.9618,0.967
25,15_28,0.433,0.7844,0.8707,0.9284,0.9481,0.9598,0.966
26,16_25,0.1739,0.4982,0.6725,0.8248,0.8733,0.8944,0.9035
27,16_26,0.132,0.5689,0.7115,0.8264,0.8787,0.903,0.912
28,16_27,0.239,0.3853,0.498,0.6786,0.7988,0.86,0.904
29,17_24,0.145,0.2609,0.357,0.5016,0.6014,0.6766,0.7735
30,17_25,0.217,0.4939,0.7072,0.8618,0.9199,0.9453,0.963
31,17_9,0.3,0.3,0.3,0.5,0.5699,0.6,0.7775
32,18_23,0.167,0.167,0.2984,0.4146,0.547,0.633,0.777
33,18_24,0.213,0.4831,0.6401,0.8292,0.9087,0.9502,0.976
34,19_23,0.061,0.061,0.115,0.1698,0.242,0.303,0.4439
35,19_24,0.067,0.067,0.067,0.067,0.133,0.133,0.29
36,19_26,0.217,0.3842,0.6339,0.8758,0.9429,0.952,1.0
37,2_0,0.296,0.296,0.296,0.296,0.481,0.481,0.646
38,2_13,0.333,0.333,0.5337,0.6624,0.756,0.778,0.854
39,2_33,0.333,0.333,0.5301,0.6592,0.762,0.81,0.9065
40,2_35,0.594,0.746,0.8169,0.889,0.9216,0.932,0.947
41,20_23,0.158,0.3867,0.5373,0.6938,0.7495,0.7656,0.773
42,20_24,0.201,0.3463,0.5473,0.7332,0.7877,0.8258,0.8555
43,20_26,0.153,0.3632,0.5008,0.6859,0.7594,0.7864,0.7985
44,20_27,0.194,0.194,0.365,0.6104,0.734,0.8406,0.92
45,21_17,0.435,0.7155,0.8004,0.8794,0.9119,0.9298,0.9375
46,21_18,0.594,0.7127,0.7469,0.792,0.8476,0.896,0.959
47,21_24,0.196,0.3347,0.5238,0.675,0.7651,0.8336,0.9065
48,21_25,0.175,0.539,0.6908,0.8272,0.9061,0.9468,0.968
49,21_26,0.267,0.781,0.8816,0.9394,0.9608,0.9722,0.9775
50,22_21,0.13,0.2345,0.3237,0.4596,0.561,0.613,0.661
51,22_23,0.327,0.8061,0.8756,0.9216,0.9418,0.9516,0.955
52,22_24,0.436,0.8345,0.9112,0.9634,0.9804,0.9866,0.9885
53,22_26,0.4,0.7983,0.8981,0.9388,0.9511,0.9576,0.9625
54,22_27,0.167,0.2753,0.4104,0.5372,0.5999,0.6712,0.729
55,23_16,0.232,0.232,0.418,0.6512,0.753,0.8258,0.88
56,23_17,0.399,0.6822,0.7612,0.8066,0.8281,0.8366,0.844
57,23_20,0.063,0.063,0.127,0.19,0.298,0.381,0.527
58,23_21,0.269,0.7349,0.8579,0.9256,0.9562,0.9682,0.9705
59,23_22,0.476,0.476,0.635,0.667,0.667,0.667,0.7264
60,23_24,0.25,0.62,0.7551,0.851,0.899,0.9182,0.924
61,23_25,0.243,0.8093,0.8631,0.9026,0.9245,0.9388,0.946
62,23_26,0.2839,0.7922,0.84,0.8812,0.9079,0.9306,0.9444
63,23_27,0.382,0.7908,0.8707,0.9156,0.9304,0.9392,0.9435
64,24_13,0.308,0.5265,0.706,0.9412,0.9972,1.0,1.0
65,24_14,0.352,0.7597,0.8667,0.9274,0.96,0.9862,1.0
66,24_18,0.3,0.3,0.3,0.5,0.5699,0.6,0.7775
67,24_20,0.025,0.025,0.05,0.095,0.125,0.165,0.236
68,24_21,0.239,0.4033,0.5263,0.6898,0.805,0.867,0.908
69,24_23,0.37,0.6783,0.823,0.9036,0.9298,0.944,0.954
70,24_24,0.264,0.264,0.424,0.594,0.6914,0.797,0.9265
71,24_25,0.287,0.7321,0.8068,0.8666,0.9104,0.9458,0.968
72,24_26,0.16,0.4887,0.6489,0.7796,0.8474,0.8836,0.899
73,24_27,0.15,0.443,0.6449,0.7966,0.8571,0.9006,0.9345
74,24_28,0.316,0.6149,0.6984,0.7688,0.7914,0.794,0.7975
