"id","T","U","S_obs","Q1","Q2","SC","SCs"
"0_0",3,7,5,3,2,0.7429,"0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.571;0.743;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.944;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.571;0.743;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.944;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.571;0.743;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.944"
"0_1",4,6,4,3,0,0.625,"0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.625;0.719;0.719;0.719;0.719;0.719;0.719;0.719;0.789;0.789;0.789;0.789;0.789;0.789;0.842;0.842;0.842;0.842;0.842;0.842;0.881;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.625;0.719;0.719;0.719;0.719;0.719;0.719;0.719;0.789;0.789;0.789;0.789;0.789;0.789;0.842;0.842;0.842;0.842;0.842;0.842;0.881;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.333;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.625;0.719;0.719;0.719;0.719;0.719;0.719;0.719;0.789;0.789;0.789;0.789;0.789;0.789;0.842;0.842;0.842;0.842;0.842;0.842;0.881"
"0_10",2,2,2,2,0,0.6667,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.963"
"0_11",6,8,3,0,2,1,"0.4;0.4;0.4;0.4;0.4;0.65;0.65;0.65;0.65;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.4;0.4;0.4;0.4;0.4;0.65;0.65;0.65;0.65;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0.4;0.4;0.4;0.4;0.4;0.65;0.65;0.65;0.65;0.8;0.8;0.8;0.8;0.8;0.9;0.9;0.9;0.9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"0_14",2,3,2,1,1,0.8889,"0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.889;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.988;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.889;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.988;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.667;0.889;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.963;0.988"
"0_15",1,2,2,2,0,1,"1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"0_2",21,28,6,1,3,0.9725,"0.368;0.575;0.689;0.752;0.787;0.808;0.823;0.835;0.846;0.857;0.868;0.879;0.889;0.9;0.911;0.921;0.932;0.943;0.964;0.973;0.979;0.984;0.987;0.99;0.993;0.994;0.996;0.997;0.997;0.998;0.998;0.999;0.999;0.999;0.999;1;1;1;1;1;0.368;0.575;0.689;0.752;0.787;0.808;0.823;0.835;0.846;0.857;0.868;0.879;0.889;0.9;0.911;0.921;0.932;0.943;0.964;0.973;0.979;0.984;0.987;0.99;0.993;0.994;0.996;0.997;0.997;0.998;0.998;0.999;0.999;0.999;0.999;1;1;1;1;1;0.368;0.575;0.689;0.752;0.787;0.808;0.823;0.835;0.846;0.857;0.868;0.879;0.889;0.9;0.911;0.921;0.932;0.943;0.964;0.973;0.979;0.984;0.987;0.99;0.993;0.994;0.996;0.997;0.997;0.998;0.998;0.999;0.999;0.999;0.999;1;1;1;1;1"
"0_21",2,2,2,2,0,0.6667,"0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.667;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.889;0.963"
"0_24",10,13,7,5,0,0.6356,"0.222;0.222;0.222;0.374;0.374;0.473;0.473;0.536;0.536;0.574;0.574;0.574;0.596;0.596;0.609;0.609;0.615;0.615;0.615;0.636;0.655;0.655;0.655;0.673;0.673;0.69;0.69;0.706;0.706;0.722;0.722;0.737;0.737;0.75;0.75;0.764;0.764;0.776;0.776;0.788;0.222;0.222;0.222;0.374;0.374;0.473;0.473;0.536;0.536;0.574;0.574;0.574;0.596;0.596;0.609;0.609;0.615;0.615;0.615;0.636;0.655;0.655;0.655;0.673;0.673;0.69;0.69;0.706;0.706;0.722;0.722;0.737;0.737;0.75;0.75;0.764;0.764;0.776;0.776;0.788;0.222;0.222;0.222;0.374;0.374;0.473;0.473;0.536;0.536;0.574;0.574;0.574;0.596;0.596;0.609;0.609;0.615;0.615;0.615;0.636;0.655;0.655;0.655;0.673;0.673;0.69;0.69;0.706;0.706;0.722;0.722;0.737;0.737;0.75;0.75;0.764;0.764;0.776;0.776;0.788"
"0_25",3,7,5,3,2,0.7429,"0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.571;0.743;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.944;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.571;0.743;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.944;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.571;0.743;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.846;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.907;0.944"
